text,label,text1,text2
雀巢裁员4000人：时代抛弃你时，连招呼都不会打！,0,雀巢裁员4000人：时代抛弃你时，连招呼都不会打。,雀巢裁员4000人，时代抛弃你时，连招呼都不会打！
美国“未来为”子公司大幅度裁员，这是为什么呢？任正非正式回应,0,美国未来为子公司大幅度裁员，这是为什么呢？,美国任正非为什么被禁止裁员？
这一全球巨头“凉凉” “捅刀”华为后 裁员5000 现市值缩水800亿,0,华为被裁员，现市值缩水，华为为什么还能成为巨头,华为被裁员后市值缩水到了多少
被证实将再裁员1800人 AT&T在为落后的经营模式买单,0,被证实将再裁员1800人，at& t在为落后的经营模式买单，是什么意思？,at& t将裁员1800人，是否会是一个巨大的裁员
又一网约车巨头倒下：三个月裁员835名员工，滴滴又该何去何从,0,又一网约车巨头倒下，滴滴司机怎么回应，又要裁员多少名,如何看待滴滴网约车倒闭，三个月裁员835员工
8月20日消息，据腾讯新闻《一线》报道，知情人士表示，为了控制成本支出，蔚来计划将美国分公司的人员规模除自动驾驶业务相关人员外，减少至200人左右。截至美国时间8月16日，蔚来位于美国硅谷的分公司已裁减100名员工。,0,腾讯新闻，知情人士表示，为了控制成本支出，蔚来计划将将将美国分公司的人员规模减少至200名员工减至至100人，为什么,腾讯新闻报道，为了控制成本支出，蔚来计划将美国分公司的人员规模减少至200人员减减至100人，截至美国时间
最近，一位前便利蜂员工就因公司违规裁员，将便利蜂所在的公司虫极科技（北京）有限公司告上法庭。,0,便利蜂员工被裁，虫极科技怎么解,虫极科技（北京）有限公司员工裁
思科上海大规模裁员 人均可获赔100万 官方澄清事实,0,思科上海裁员人均可获赔100万,思科上海裁员人均可获赔100万，是真的吗
日本巨头面临危机，已裁员1000多人，苹果也救不了它！,0,日本巨头面临危机，已裁员1000多人，苹果也救不了它,日本巨头面临危机已裁员1000多人，iphone也救不了它
在硅谷镀金失败的造车新势力们：蔚来裁员、奇点被偷窃、拜腾解散,0,在硅谷镀金失败的造车新势力们，拜腾裁员是怎么回事？,硅谷造车新势力：蔚来为何被解散？
武汉HR暴力裁员：你一味逢迎的样子，真丑！,0,武汉hr暴力裁员：你一味逢迎的样子，真丑！,hr暴力裁员，你一味逢迎的样子，真丑
美国网约车巨头Uber（优步）周二宣布，该公司已在旗下产品和工程团队裁员435人。,0,美国网约车公司uber（优步）宣布将裁员435人。,美国网约车巨头uber（优步）宣布将在全球进行裁员，这是
蔚来创始人、CEO 李斌今天发布内部邮件，表示公司将 “进一步控制支出，提升运营效率，把资源聚集在核心业务上”，同时，9 月底前裁员至 7500 人左右。,0,蔚来创始人李斌今天发布内部邮件，说将将进一步控制支出，把资源聚集到核心业务上，是真的吗？,蔚来公司ceo李斌发布内部邮件，将进一步控制支出，提升运营效率，把资源聚集
百年老店福特宣布裁撤7000员工 约占全球带薪劳动力10%,0,福特百年老店裁员员工多少,百年老店福特为什么裁员，是不是因为劳动力太大
美媒：华为美国公司将大裁员 预计影响约850名员工,0,美媒：华为美国公司将大裁员预计约850名人员怎么看,美媒：华为为什么会裁员
突发！蔚来汽车宣布裁员1200人,0,蔚来汽车宣布裁员1200人是怎么回事？,蔚来汽车宣布裁员1200人是真的吗？？
据36氪报道，近日，多名蔚来汽车离职员工透露，蔚来汽车正陆续裁员。,0,36氪报道，近日，多名蔚来汽车离职员工曝光，蔚来汽车已,36氪：近日，多名蔚来汽车宣布辞职
全球第一手机巨头在华彻底凉凉，开始大量裁员，用户都几乎跑光了,0,手机巨头在华彻底凉凉，开始大量裁员了，用户几乎跑光了,全球第一手机巨头在华彻底凉凉，开始大量裁员，用户几乎
5月14日，据《印度经济时报》报道，IBM将裁员300人，主要集中在软件服务部门。,0,5月14日，据《印度经济时报》报道，ibm将裁员300,印度经济时报报道，ibm将裁员300人，主要集中在it行业
踢球行经商不行，拉姆投资公司大量裁员面临倒闭,0,拉姆投资公司为什么会大量裁员,拉姆投资公司倒闭了吗
福特欧洲裁员1.2万人 与大众合作有望扩大,0,福特欧洲裁员1.2万人与大众合作有望扩大,福特欧洲裁员1.2亿人与大众合作有望扩大扩大
根据记者报道，多位消息人士透漏，骑士交易JR史密斯未果，最终将其裁掉，上赛季詹姆斯西游之后，骑士竞争力大不如从前，球队开始出现震荡，就连冠军教头泰伦卢也被裁员，之后JR史密斯被弃用，直到赛季末期都没有比赛，上赛季仅仅打了11场比赛。,0,骑士交易詹姆斯，上赛季就被裁员，最后被裁了，上赛季还有没有比赛，就连冠军教头泰伦卢被裁员,詹姆斯和泰伦卢，上赛季赛季末期，骑士交易，上赛季，赛季后，詹姆斯被迫裁员，上赛季，为什么
这是该公司今年在美国进行的第二轮裁员，今年5月，蔚来曾裁员70名员工，关闭了位于旧金山的一个办公室。,0,蔚来公司在美国裁员，这是,蔚来是美国公司裁员的，这
又一全球科技巨头在中国“陨落”？中国区大幅裁员，曾与微软齐名,0,又一全球科技巨头在中国陨落？曾与微软齐名,又一全球科技巨头在中国陨落，曾与微软齐名？
优步“史上最大”规模裁员：营销部门裁400人,0,优步裁员400人是怎么回事？,为什么优步裁员400人，优步裁员的原因
被特朗普“戏耍”，丧失41亿建厂优惠，还被迫裁员，郭台铭失算了,0,被特朗普戏耍，郭台铭被裁员了吗,郭台铭：被特朗普戏耍，还被迫裁员，你怎么看
勇士裁掉三冠功勋老将！成功省钱到土豪线以下,0,勇士裁掉三冠功勋老将！成功省钱到土豪线以下？,勇士裁掉三冠功勋老将，成功省钱到土豪线以下？
据CNBC报道，美国企业IT服务巨头IBM公司周四证实，该公司将实施裁员一千多人，这证实了当天早些时候在线留言板TheLayoff上出现的裁员消息。,0,美国it it服务巨头ibm公司周三出现裁员，是真的吗,it服务巨头ibm公司周四证实将裁员一千人？
裁员4000，关店1000，又一商超巨头自身难保了,0,裁员4000关店1000，又一商超巨头自身难保了,商超巨头裁员3000，被关店1000多，又一商超巨头自身难保
Keep称裁员是公司正常运营现象，我是不信的,0,keep被裁员是不是真正的公司,keep公司是不是都要裁员啊
甲骨文开启“裁员”模式 精兵简政能否换来“云端”进步,0,精兵简政能换来云端进步吗甲骨文裁员,精兵简政能换来云端进步，甲骨文是如何看待云端
半年狂赚900亿却被迫裁员，“插刀”华为成汇丰最大梦魇,0,华为成汇丰最大梦魇：为什么要裁员，华为却被迫裁员,"华为被裁员，插刀"" 为什么成了汇丰的噩梦"
快狗打车裁员风波背后，同城货运难题待解,0,快狗打车被曝同城货运难题，快狗打车为什么不,快狗打车是不是倒闭了，同城运输难题
通用汽车泰国裁员350人，占员工总数的15%左右,0,通用汽车裁员350人，占员工总数的15% 左右，是真的吗？,泰国的通用汽车裁员了吗
甲骨文中国裁员引发员工不满，N+6赔偿真的“良心”么？,0,甲骨文裁员引发员工不满，n+6赔偿良心么,甲骨文裁员，n+6赔偿是真的吗
外媒：IBM最新裁员1700人,0,外媒：ibm最新裁员1700人什么意思,外媒：ibm最新裁员1700人，为什么外媒都说
裁员4000人，法系车或将退出中国市场 评论区炸了,0,法系车会退出中国市场吗,法系车退出中国市场，为什么中国车却不行？
美国最大在线券商嘉信理财（Charles Schwab）发言人周二宣布，该公司将裁员约600人。这位发言人在一份电子邮件声明中说：“受影响的职位涵盖了公司所有的员工级别，以及整个公司的组织和地点。”,0,在线理财：美国最大在线券商（charles schwab）发言人周二宣布，该发言人将裁员600人，以及整个公司的发言人发布，该公司将裁员,美国最大在线券商charles schwab发布一份公司的电子邮件说：该公司将裁员600人
北京时间5月24日，据当地媒体《慕尼黑信使报》消息：前拜仁和德国国家队队长拉姆投资的公司大量裁员，存在倒闭风险。,0,拜仁和德国国,慕尼黑《慕尼
近日新闻报道，西门子宣布计划未来几年在油气与电力集团全球裁员2700人，这一裁员数量约占该业务集团全球6.4万名员工的4％。,0,西门,近日新闻报道，西门子宣布计划未来几年在油气与电力集团全球裁员2700人，这一裁员数量约占该业务集团全球6.4万名员工的4％。
其实中国自主新能源汽车里面，目前能拿出手的并不多，但论档次来讲，蔚来还是比较高端的，不仅是内外和用料，价格方面也挺不接地气的。而目前据美国当地媒体报道，中国蔚来在加州的机构进行了一部分的裁员。,0,美国新能源汽车，其实目前能拿出手来的不多，但是在外国还是比较高端的，不仅是内外,其实在新能源汽车里面，目前可用的是蔚来和蔚来的内外，而且价格还不错，但是是外外，还是外观都不错的，内外
三星在华最后一家手机厂裁员；特斯拉在京免费租车牌,0,三星在华最后一家厂最后裁员；特斯拉在京免费租车牌,特斯拉在京在北京免费租车牌吗
900名被裁员工正式告别甲骨文，那些离开外企的人都去哪了？,0,900名被裁员工正式告别甲骨文，那些离开外企的人都去了？,甲骨文被裁，那些离开外企的人都去哪了？
裁员1200人，Uber可以将其损失减少10-20％，Uber正在计划在剩余现金用完之前解决其余问题，当然包括自动驾驶汽车落地。,0,uber将将在剩余现金,uber将在剩余的现金
伊起租：受“实体名单”风波影响，华为在美研发公司将裁员600人,0,伊起租：实体名单影响，华为在美研发公司将裁员600人,伊起租：华为在美研发公司将裁员600人，华为将裁员
 据Finance Magnates周一（7月8日）报道，德意志银行今日开始大裁员，但其外汇部门基本没有受到影响。上周末该银行宣布将执行新一轮的重整，将裁员1.8万人。,0,如何评价finance magnates周一（7月8日）报道，德意志银行今日开始大裁员，但其其外汇部门基本不受到新一轮重整？,德意志银行将裁员1.8万人，外汇部门将裁员1.8万人是真的吗
受实体清单影响：华为招募天价天才和美国子公司裁员600余人！,0,受实体清单影响：华为招募天才和美国子公司裁员600余人,华为招募天价天才，美国子公司裁员600人？
从甲骨文裁员说起,0,从甲骨文裁员到甲骨文的经历,甲骨文裁员的理由
美企裁员数万人，硅谷对白宫表态：停止“科技战”？,0,美企裁员数万人，白宫对科技战停止科技战？,美国裁员数万美，美国对白宫表态：停止科技战？
随着去年通用大规模裁员之后，福特也加入了裁员之列，缩减自身规模以应对利润下滑。据央视网消息，全球第二大汽车制造商福特对外宣布，8月底将完成全球裁员约7000名白领，占目前福特全球7万名带薪员工的10%，届时，福特汽车的管理层架构将精简近20%。,0,央视网报道，全球第二大汽车制造商福特全球裁员，将将精简近10万名带薪员工，对福特的经营状况如何？,福特全球裁员，全球第二大的带薪员工将将完成近20% ，对全球最大的经销商，福特的全球第二大员工将减员多少
5月31日，位于朝阳门外大街甲6号万通中心AB座办公楼的韬蕴资本会议室内，十几位近日被裁员的客服部门员工在此索要易到拖欠的工资，并商讨住房公积金及劳动补偿的问题。,0,在5月31日，位于北京朝阳区万通中心a座的韬蕴资本会议室，十几位近日被裁员的员工在此索要住房公积金及劳动补偿部议室的韬蕴资本员工在此被,5月31日，位于位于朝阳门外大街a座的韬蕴资本会议室，十几位近日被裁员的员工在此索要住房公积金及劳动补偿
化工巨头巴斯夫全球裁员6000人，行业不景气所迫还是应对盈利下滑的自救,0,化工巨头巴斯夫全球裁员6000人，是应对盈利下滑所迫的自救,化工巨头巴斯夫，行业不景气所迫还是应对盈利下滑的自救
北京时间7月10日，据报道，金州勇士队已经裁掉了33岁控卫肖恩-利文斯顿，而利文斯顿并不打算退役。,0,17年的肖恩·利文斯顿退役时的,北京时间7月10日，据报道，nba
蔚来效仿特斯拉，美国工厂提前裁员,0,特斯拉为什么要裁员，美国工厂会提前撤离,特斯拉为什么不愿意在美国投资，因为蔚来是特斯拉
近日，世界级软件公司甲骨文公司在中国区裁员的消息引爆了科技圈，很多人都在关注甲骨文怎么裁员，给的裁员补偿是什么，又或者是因为甲骨文创始人所说的：“不能让中国培养比美国还多的工程师”，而怀疑是否是美国科技企业对于中国科技发展的打击。,0,甲骨文在中国被裁员的事件，很多人都在关注，到底是因为美国科技企业的出路，还是因为中国,在中国，甲骨文公司为什么会在全世界界的那么多人都说：不能让中国科技公司对中国企业提供裁员补偿
GameStop大幅裁员 连旗下杂志编辑也被裁掉近半,0,gamestop大幅裁员，连杂志编辑也被裁掉近半百万，这个怎么解决,gamestop裁员了吗，还是被裁掉了
每日房地产简报｜澳洲地产圈打响裁员战：行业进入稳定期 人才需求减少,0,每日房地产简报｜澳洲地产圈打响裁员战：行业进入稳定期人,每日房地产简报｜澳洲地产圈打响裁员战：人才需求减少，哪些
裁员1.8万！昔日巨头德银宣布激进重组方案，耗资逾500亿，求生之举能否成功？,0,德银宣布裁员1.8万！昔日巨头宣布激进重组方案，,德银宣布激进重组，将成为一个巨头，求生之举？
近日，德意志银行发表了一份重组计划，将裁撤大量交易部门，在全球裁员约1.8万人，重组所耗资在2022年底累计将达74亿欧元，折合人民币572亿元。,0,今日，德意志银行发表了一份重组计划，将裁撤大量交易部门，裁员所耗资在2022年末将达到746亿元，折合人民币的572亿元。这个数字是什么意思？,德意志银行在全球裁员约1.8万人，裁员人数将增加多少亿
NBA自由球员市场大门一开，虽然很多球星都拿到了过亿薪资合同，但是也有不少球星无人问津。此前宣布退役老将帕克也在自由市场开启的第三天，被黄蜂队正式裁掉，黄蜂队选择在7月4号来临之前裁掉帕克，可以少付525万美元的薪水给帕克。,0,球星都在nba自由市场，但为什么很多球星都没有自由市场退役后帕克会被裁掉，而黄蜂队却有自由市场的合同,在nba中，很多球星都拿到过过亿球员的合同，但是却不愿意给帕克薪资，但他们却被自由市场裁除。是吗
9月20日消息，据外媒报道，宝马公司计划到2022年底前在德国裁员近6000人，作为其正在进行的削减成本计划的一部分。,0,11月20日，据外媒报,宝马公司将从2019年底
徕卡CEO Matthias Harsch近日在接受采访时表示，莱卡在过去几年里已经裁掉了1/8的员工。,0,徕卡ceo matthias harsch近日在接受采访时表示，莱,徕卡ceo matthias harsch近日在接受采访时表
分析师被裁后把老东家告上法庭！高大上的券商研究所 却成了劳资纠纷高发地,0,分析师被裁后告老东家告上法庭，高大上的券商研究所却成,分析师被裁后把老东家告上法庭！高大上的分析师
WeWork计划最快本周裁员2000人 占公司职员总数13%,0,wework计划最快本周裁员2000人占公司职员总数13%,wework计划裁员员工数是多少
 北京时间7月11日早间消息，据美国科技媒体The Verge报道，今天早些时候，中国电动汽车创企Seres（原名为SF Motors）在员工会议上宣布，该公司将在硅谷办公室裁员90人。,0,美国科技媒体the verge报道，今天早晨，中国电动汽车创企seres在硅谷办公室会上宣布，,美国科技媒体the verge报道，今天早上报道，中国电动汽车创办人seres将在硅谷办公室
宝马“大换血”：裁员6000人 继续扩大自驾和电动化团队,0,宝马大换血：裁员6000人继续扩大自驾和电动化团队,宝马大换血：为何自驾车辆会被裁员6000人
西门子裁员万人，中年危机从追求稳定开始！,0,西门子裁员了万人，中年危机从追求稳定开始,西门子裁员一万人，中年危机从追求稳定开始，
甲骨文大量裁员的背后反映另一个经济学理论——“替代效应”。,0,甲骨文大量裁员的背后，反映了什么样的经济学理论,甲骨文大量裁员的背后反映了哪些经济学理论
"7月22日消息，据外媒报道，福特汽车公司宣布，将于今年9月份在其位于加拿大安大略省奥克维尔的制造工厂裁员约200人，并可能于明年1月份进一步扩大裁员规模。福特奥克维尔工厂目前大约雇佣了4,600名员工。福特将此次裁员归咎于奥克维尔工厂生产的福特Flex以及林肯MKT两款车型的销量下滑；此外，奥克维尔工厂产量最高的福特Edge车型不再在一些欧洲市场出售，也是的另一个原因。",0,福特汽车公司宣布，将于今年8月份在其位于安大略省奥克维尔工厂扩大裁员规模。,福特汽车宣布将于今年9月底裁员，将将在奥克维尔工厂生产的福克维尔裁员归零。
据活塞跟队记者James Edwards III报道，球队已裁掉特雷肖-瑟曼，签下特拉德翁-霍林斯（如上图所示）。,0,"如果活塞签下特雷肖-瑟曼, 那么特雷",活塞队特拉德翁-瑟曼签下特雷肖-瑟
在今天早晨稍早时候，NBA著名记者Shams Charania报道，多位消息人士透露，骑士使用延伸条款裁掉JR-史密斯，目前JR史密斯已经成为了自由球员。,0,nba著名记者shams charania报道，多位消息人士透露，jr史密斯已经被裁掉了，现在jr史密斯已经退出骑士了吗,nba今天早上出来，在nba著名记者shams charania报道，多位消息人士透露，jr
莫雷连裁两人,0,莫雷连裁两人是怎么回事,连裁莫雷是谁
惠普为削减成本、提振销售将裁员至多16%,0,惠普为削减成本提振销售将裁员至多16%,惠普为削减成本提振销售将裁员至多17%
10月24日，Keep开始了一轮大裁员，此次裁员涉及人数或有两三百人，甚至可能更多。,0,10月24日keep裁员的人数会增加多少？,keep开始大裁员，此次裁员有多少人
“程序员节”Keep突然裁员，或涉及两三百人,0,程序员节keep突然裁员，或涉及两三百人,keep程序员节会裁员多少人
徕卡裁员100人 要把重点转向人工智能技术,0,徕卡要裁员100人要把重点转向人工智能技术,徕卡裁员100人真的是因为人工智能吗
美国最大在线券商嘉信理财裁员约600人 此前放弃加密货币业务,0,美国最大在线券商嘉信理财裁员约600人此前放弃加密,美国最大券商嘉信理财裁员了吗加密货币业务是否会被
据外媒报道，印度最大的汽车制造商之一马恒达宣布推迟投资计划，并表示，由于汽车行业长期负增长，该公司本财年将裁员1500人。,0,马恒达,印度最
官方：尼克斯裁掉后卫阿米尔-辛顿,0,阿米尔辛顿为什么被尼克斯裁员,阿米尔-辛顿是不是尼克斯最弱的后卫
