text,label
雀巢裁员4000人：时代抛弃你时，连招呼都不会打！,0
美国“未来为”子公司大幅度裁员，这是为什么呢？任正非正式回应,0
这一全球巨头“凉凉” “捅刀”华为后 裁员5000 现市值缩水800亿,0
被证实将再裁员1800人 AT&T在为落后的经营模式买单,0
又一网约车巨头倒下：三个月裁员835名员工，滴滴又该何去何从,0
8月20日消息，据腾讯新闻《一线》报道，知情人士表示，为了控制成本支出，蔚来计划将美国分公司的人员规模除自动驾驶业务相关人员外，减少至200人左右。截至美国时间8月16日，蔚来位于美国硅谷的分公司已裁减100名员工。,0
最近，一位前便利蜂员工就因公司违规裁员，将便利蜂所在的公司虫极科技（北京）有限公司告上法庭。,0
思科上海大规模裁员 人均可获赔100万 官方澄清事实,0
日本巨头面临危机，已裁员1000多人，苹果也救不了它！,0
在硅谷镀金失败的造车新势力们：蔚来裁员、奇点被偷窃、拜腾解散,0
武汉HR暴力裁员：你一味逢迎的样子，真丑！,0
美国网约车巨头Uber（优步）周二宣布，该公司已在旗下产品和工程团队裁员435人。,0
蔚来创始人、CEO 李斌今天发布内部邮件，表示公司将 “进一步控制支出，提升运营效率，把资源聚集在核心业务上”，同时，9 月底前裁员至 7500 人左右。,0
百年老店福特宣布裁撤7000员工 约占全球带薪劳动力10%,0
美媒：华为美国公司将大裁员 预计影响约850名员工,0
突发！蔚来汽车宣布裁员1200人,0
据36氪报道，近日，多名蔚来汽车离职员工透露，蔚来汽车正陆续裁员。,0
全球第一手机巨头在华彻底凉凉，开始大量裁员，用户都几乎跑光了,0
5月14日，据《印度经济时报》报道，IBM将裁员300人，主要集中在软件服务部门。,0
踢球行经商不行，拉姆投资公司大量裁员面临倒闭,0
福特欧洲裁员1.2万人 与大众合作有望扩大,0
根据记者报道，多位消息人士透漏，骑士交易JR史密斯未果，最终将其裁掉，上赛季詹姆斯西游之后，骑士竞争力大不如从前，球队开始出现震荡，就连冠军教头泰伦卢也被裁员，之后JR史密斯被弃用，直到赛季末期都没有比赛，上赛季仅仅打了11场比赛。,0
这是该公司今年在美国进行的第二轮裁员，今年5月，蔚来曾裁员70名员工，关闭了位于旧金山的一个办公室。,0
又一全球科技巨头在中国“陨落”？中国区大幅裁员，曾与微软齐名,0
优步“史上最大”规模裁员：营销部门裁400人,0
被特朗普“戏耍”，丧失41亿建厂优惠，还被迫裁员，郭台铭失算了,0
勇士裁掉三冠功勋老将！成功省钱到土豪线以下,0
据CNBC报道，美国企业IT服务巨头IBM公司周四证实，该公司将实施裁员一千多人，这证实了当天早些时候在线留言板TheLayoff上出现的裁员消息。,0
裁员4000，关店1000，又一商超巨头自身难保了,0
Keep称裁员是公司正常运营现象，我是不信的,0
甲骨文开启“裁员”模式 精兵简政能否换来“云端”进步,0
半年狂赚900亿却被迫裁员，“插刀”华为成汇丰最大梦魇,0
快狗打车裁员风波背后，同城货运难题待解,0
通用汽车泰国裁员350人，占员工总数的15%左右,0
甲骨文中国裁员引发员工不满，N+6赔偿真的“良心”么？,0
外媒：IBM最新裁员1700人,0
裁员4000人，法系车或将退出中国市场 评论区炸了,0
美国最大在线券商嘉信理财（Charles Schwab）发言人周二宣布，该公司将裁员约600人。这位发言人在一份电子邮件声明中说：“受影响的职位涵盖了公司所有的员工级别，以及整个公司的组织和地点。”,0
北京时间5月24日，据当地媒体《慕尼黑信使报》消息：前拜仁和德国国家队队长拉姆投资的公司大量裁员，存在倒闭风险。,0
近日新闻报道，西门子宣布计划未来几年在油气与电力集团全球裁员2700人，这一裁员数量约占该业务集团全球6.4万名员工的4％。,0
其实中国自主新能源汽车里面，目前能拿出手的并不多，但论档次来讲，蔚来还是比较高端的，不仅是内外和用料，价格方面也挺不接地气的。而目前据美国当地媒体报道，中国蔚来在加州的机构进行了一部分的裁员。,0
三星在华最后一家手机厂裁员；特斯拉在京免费租车牌,0
900名被裁员工正式告别甲骨文，那些离开外企的人都去哪了？,0
裁员1200人，Uber可以将其损失减少10-20％，Uber正在计划在剩余现金用完之前解决其余问题，当然包括自动驾驶汽车落地。,0
伊起租：受“实体名单”风波影响，华为在美研发公司将裁员600人,0
 据Finance Magnates周一（7月8日）报道，德意志银行今日开始大裁员，但其外汇部门基本没有受到影响。上周末该银行宣布将执行新一轮的重整，将裁员1.8万人。,0
受实体清单影响：华为招募天价天才和美国子公司裁员600余人！,0
从甲骨文裁员说起,0
美企裁员数万人，硅谷对白宫表态：停止“科技战”？,0
随着去年通用大规模裁员之后，福特也加入了裁员之列，缩减自身规模以应对利润下滑。据央视网消息，全球第二大汽车制造商福特对外宣布，8月底将完成全球裁员约7000名白领，占目前福特全球7万名带薪员工的10%，届时，福特汽车的管理层架构将精简近20%。,0
5月31日，位于朝阳门外大街甲6号万通中心AB座办公楼的韬蕴资本会议室内，十几位近日被裁员的客服部门员工在此索要易到拖欠的工资，并商讨住房公积金及劳动补偿的问题。,0
化工巨头巴斯夫全球裁员6000人，行业不景气所迫还是应对盈利下滑的自救,0
北京时间7月10日，据报道，金州勇士队已经裁掉了33岁控卫肖恩-利文斯顿，而利文斯顿并不打算退役。,0
蔚来效仿特斯拉，美国工厂提前裁员,0
近日，世界级软件公司甲骨文公司在中国区裁员的消息引爆了科技圈，很多人都在关注甲骨文怎么裁员，给的裁员补偿是什么，又或者是因为甲骨文创始人所说的：“不能让中国培养比美国还多的工程师”，而怀疑是否是美国科技企业对于中国科技发展的打击。,0
GameStop大幅裁员 连旗下杂志编辑也被裁掉近半,0
每日房地产简报｜澳洲地产圈打响裁员战：行业进入稳定期 人才需求减少,0
裁员1.8万！昔日巨头德银宣布激进重组方案，耗资逾500亿，求生之举能否成功？,0
近日，德意志银行发表了一份重组计划，将裁撤大量交易部门，在全球裁员约1.8万人，重组所耗资在2022年底累计将达74亿欧元，折合人民币572亿元。,0
NBA自由球员市场大门一开，虽然很多球星都拿到了过亿薪资合同，但是也有不少球星无人问津。此前宣布退役老将帕克也在自由市场开启的第三天，被黄蜂队正式裁掉，黄蜂队选择在7月4号来临之前裁掉帕克，可以少付525万美元的薪水给帕克。,0
9月20日消息，据外媒报道，宝马公司计划到2022年底前在德国裁员近6000人，作为其正在进行的削减成本计划的一部分。,0
徕卡CEO Matthias Harsch近日在接受采访时表示，莱卡在过去几年里已经裁掉了1/8的员工。,0
分析师被裁后把老东家告上法庭！高大上的券商研究所 却成了劳资纠纷高发地,0
WeWork计划最快本周裁员2000人 占公司职员总数13%,0
 北京时间7月11日早间消息，据美国科技媒体The Verge报道，今天早些时候，中国电动汽车创企Seres（原名为SF Motors）在员工会议上宣布，该公司将在硅谷办公室裁员90人。,0
宝马“大换血”：裁员6000人 继续扩大自驾和电动化团队,0
西门子裁员万人，中年危机从追求稳定开始！,0
甲骨文大量裁员的背后反映另一个经济学理论——“替代效应”。,0
"7月22日消息，据外媒报道，福特汽车公司宣布，将于今年9月份在其位于加拿大安大略省奥克维尔的制造工厂裁员约200人，并可能于明年1月份进一步扩大裁员规模。福特奥克维尔工厂目前大约雇佣了4,600名员工。福特将此次裁员归咎于奥克维尔工厂生产的福特Flex以及林肯MKT两款车型的销量下滑；此外，奥克维尔工厂产量最高的福特Edge车型不再在一些欧洲市场出售，也是的另一个原因。",0
据活塞跟队记者James Edwards III报道，球队已裁掉特雷肖-瑟曼，签下特拉德翁-霍林斯（如上图所示）。,0
在今天早晨稍早时候，NBA著名记者Shams Charania报道，多位消息人士透露，骑士使用延伸条款裁掉JR-史密斯，目前JR史密斯已经成为了自由球员。,0
莫雷连裁两人,0
惠普为削减成本、提振销售将裁员至多16%,0
10月24日，Keep开始了一轮大裁员，此次裁员涉及人数或有两三百人，甚至可能更多。,0
“程序员节”Keep突然裁员，或涉及两三百人,0
徕卡裁员100人 要把重点转向人工智能技术,0
美国最大在线券商嘉信理财裁员约600人 此前放弃加密货币业务,0
据外媒报道，印度最大的汽车制造商之一马恒达宣布推迟投资计划，并表示，由于汽车行业长期负增长，该公司本财年将裁员1500人。,0
官方：尼克斯裁掉后卫阿米尔-辛顿,0
新浪美股10月8日讯， 知情人士称，在德意志银行裁员18，000人的计划中，其中大约一半裁员拟在德国实施，该行依赖于零售业务削减开支来降低成本。,0
据报道，全球网约车巨头优步(Uber)周一宣布，在全球裁员约400人，主要集中在市场营销部门。,0
随队记者：猛龙裁掉前锋萨加巴-科纳特,0
NBA大型失业潮！52人被裁，但有8个裁得太感人了,0
总部位于德国的能源巨头西门子公司，日前宣布了一项涉及全球2700名员工的裁员计划。,0
蔚来汽车裁员千人，英国石油和滴滴在中国合建电动汽车充电网络,0
德意志银行裁员18000人的计划中约半数拟发生在德国,0
背后“阴”华为的恶报还没结束？汇丰全球裁员1万人，还是高薪位,0
官方：勇士裁掉麦金尼、坎宁安和宰斯洛夫特,0
北京时间10日消息，美国油田服务巨头哈里伯顿周三宣布，将在科罗拉多州、怀俄明州、新墨西哥州和北达科他州裁员650人，因油气开采活动放缓。,0
动视暴雪大裁员近千人！两大游戏方联手控诉“神仙打架”玩家遭殃,0
华为在美国裁员600人，8000亿资本撤离美国：七大巨头进谏特朗普,0
日产拟裁员超万人 董事长被捕的坑怎么填,0
周一福特公司表示，福特将在截至8月底的重组中裁员约7千人，相当于削减其全球带薪劳动力的10%。,0
福特汽车将在全球裁减7000个白领岗位,0
跟队记者：活塞裁掉特雷肖-瑟曼 签下特拉德翁-霍林斯,0
Uber全球裁员400人 史上最大规模,0
日媒称日产裁员人数将扩大到1万人以上,0
据《华尔街日报》在7月14日引述知情人士的话称，华为正计划对其美国业务部门进行大规模裁员。报道称，华为在美国的约1500名雇员主要负责向偏远农村地区出售通信设备，其余为华为在美国的研发子公司Futurewei工作，此次裁员预计将影响该公司在华盛顿州、加利福尼亚州和得克萨斯州的实验中心的约850名员工。,0
目前，该银行开始在全球范围内裁员1.8万人，这是金融危机后最大规模的一次投资银行重组。,0
难逃寒冬魔爪，魅族大面积撤店裁员，整改力度难以想象,0
 纽约尼克斯今日官方宣布，球队已经裁掉后卫阿米尔-辛顿（配图左一）。,0
甲骨文中国研发中心裁员约1600人补偿方案为N+6,0
路咖评：宝马裁员6000人之后 下一个会是谁？,0
飞速发展的蔚来汽车，屡屡陷入舆论风波及裁员问题，如今又一轮裁员潮到了，1200人将被迫离职。,0
Oracle中国裁员900人：作为美国公司不能给中国培养工程师？,0
与此同时，魅族在全国范围内大规模撤店裁员的消息，也掀起了不少网友的热烈讨论。,0
又要停产裁员6000！通用汽车罢工危机再升级 股价大跌市值蒸发近300亿！,0
又一家科技巨头裁员，IBM确认裁员约1700人,0
蔚来裁员千人，又卖FE车队，还有啥可以卖？,0
蔚来回应裁员千人：局部优化提高效率,0
最近几天关于华为的热点新闻不少，华为招募了8个天才学生；美国子公司裁员600余人；七家美国半导体公司要求特朗普解禁华为等等。,0
下载量暴跌92%：HQ Trivia经历人事动荡 总部裁员20%,0
美国一向掌握着最优沃的科技技术资源，这也是为什么美国能吸引众多我国国内优秀学子。毋庸置疑他们在美国可以得到很好待遇和发展资源，以至于到后来大部分的留学生都选择了美国国籍。华为公司在中国的发展已经非常好，可以说掌握了通讯技术的命脉。华为也早就看好时机入驻美国子公司“未来为”，2018年已经投资5.1亿美元在这家子公司搞研发，其中员工数量多达850位员工，他们来自美国各个国家，有着卓越才能。不过令人惊讶的是美国“未来为”这家公司近期大幅度裁员，裁员人数多达8成约600余人，那么这是为什么呢？任正非正面回应。,0
朗播网被爆裁员欠薪 曾获好未来、ATA投资,0
日产汽车7月25日公布了将裁员1.25万人和减产1成的结构改革方案。,0
日产营业利润减99% 全球裁员1.25万人,0
电动车初创公司蔚来汽车在美国业务的收缩仍在继续，根据蔚来美国分公司近日递交给美国加州就业发展局的文件显示，蔚来硅谷分公司裁员62人，这是蔚来美国分公司今年来第二轮裁员。,0
在进行了中国男篮集训之后的第一次裁员之后，剩下17名球员在今天已经启程前往美国进行第二阶段的备战，而这个阶段也将会是中国男篮备战世界杯的重中之重，除了将要参加NBA夏季联赛之外，包括丁彦雨航是否能够恢复，12人最终名单，以及在遭遇了王仕鹏的炮轰之后，周琦能否用自己能力来给予回击，这三大悬念也备受关注！,0
华为在美开启大裁员，研发子公司Futurewei超7成人员离职,0
金融危机后最大规模重组 德银开始全球裁员1.8万人,0
德意志银行首席执行官泽温（Christian Sewing）写给员工的声明中提到，“我们正在打造一家更能够赚钱、更精简、更创新且有韧性的银行。”德意志银行计划大量裁撤交易部门，裁员1.8万人，耗资74亿欧元大规模重组业务。这是继汇丰银行2011年裁员3万人之后世界级投行对业务最大规模的一次重组行动。,0
印度汽车行业危机加剧 马恒达推迟投资并裁员1500人,0
冠军射手正式被裁！湖人都不愿意“接盘”，或将告别NBA,0
北京时间10月15日消息，据TechCrunch报道，Uber（UBER.N）在外卖、营销、高级技术、招聘、全球驾驶与平台等部门裁员约350名，这是该公司今年年初宣布裁员计划的第三轮，也是最后一轮。,0
蔚来美国继续裁员62人 涉及多个部门,0
中国公司旗下汽车创企Seres推迟新车发布 裁员90人,0
裁员 50 人，蔚来关闭美国旧金山办公室,0
刺激战场宣布关服，甲骨文中国裁员，微信判定腾讯公号滥用原创,0
Uber怎么了？裁员、巨亏、高管离职，上市2月危机四伏,0
校宝员工哀叹：大幅度裁员，中秋前最后一天被裁，当天聊完当天走,0
深圳体育中心工地坍塌：4名被困人员中3人因伤势过重死亡,1
云南曲靖一商场二层坍塌 现场多名人员受伤,1
6月19日中午11点40分许，遵义市余庆县城玉笏大道往龙溪方向半幅的快车道，路面突然发生塌陷,1
昨日(10月10日），无锡货车超载导致的高架侧翻事故，引发了外界对于桥梁安全问题的关注。,1
俄罗斯联邦侦查委员会20日说，19日发生在克拉斯诺亚尔斯克边疆区的水坝坍塌事故主要因金矿公司违规开采金矿所致。,1
9月22日11时30分左右，位于巴中市巴州区回风街道办事处的“津桥·水岸”项目在建工地发生支模架倾斜，造成2人死亡，3人受伤。,1
印度孟买降雨引发墙体垮塌致16人死亡（16）,1
广西南宁江南区一施工工地楼面倒塌 造成3死1伤,1
2019年5月20日凌晨1时许，百色市右江区东洲大道旁一家名为0776酒吧发生钢架结构屋顶坍塌事故。截至今天中午12：30分，已确认3人死亡，87人受伤。,1
7月7日开始，一周内两场暴雨袭击广西东兰县，当地多个乡镇一片泽国，境内公路多处滑坡和垮塌，部分村屯道路、通讯、电力中断，成为洪灾中的“孤岛”。,1
8月28日，据央视新闻报道：深圳一栋楼房倾斜倒塌，暂不清楚有无人员被困！,1
柬埔寨一在建大楼坍塌已致42人死伤，疑有中国工人被困,1
无锡市锡山区警方10日晚通报:10日傍晚6:10分左右，312国道上海方向k315处、锡港路上跨桥出现桥面侧翻，经现场初步勘测，桥下被压小车3辆（其中一辆系停放车辆，无人）。,1
5月18日晚上22时31分，杭州消防指挥中心接到报警，称江干区四季青街道庆青路邵逸夫医院门口天桥坍塌，大货车司机被困。接到报警后指挥中心立即调派景芳消防中队2车10人赶赴现场处置。,1
就在刚刚，江苏无锡312国道上海方向锡港路上跨桥路段出现桥面垮塌，现场有多辆轿车被完全压扁，并有多辆车掉落桥下，具体伤亡情况不详！,1
十万粉丝网红直播母亲葬礼，葬礼中雨棚倒塌18人重伤，网友震怒,1
据杭州市公安局官方微博消息，2019年5月18日22时26分许，马某某(男)驾驶皖SB62**号大型货车在秋涛北路由南向北途经庆春东路口时，因车辆载物超高碰撞人行天桥，导致人行天桥东南侧垮塌。,1
5月20日凌晨1时许，广西百色市右江区东州大道旁万象城一家名为0776酒吧发生钢架结构屋顶坍塌事故。,1
7日凌晨，金沙一处房屋垮塌，2人被埋其中,1
广西百色一酒吧坍塌致4死87伤3人被困 负责人被调查,1
“520”广西百色一酒吧发生屋顶坍塌事故 已致3死87伤,1
5月20日0点43分，广西壮族自治区百色市右江区东州大道0776酒吧发生楼顶坍塌事故，导致多人被埋。,1
应急管理部：百色酒吧坍塌事故已救出66人，约6人仍被困,1
深圳市体育中心坍塌事故已致3人死亡，5人受伤,1
甘肃合水截污控源工程项目地发生坍塌事故 致4人死亡,1
8月20日凌晨2时许，四川阿坝州汶川县境内遭遇强降雨，凌晨2:20，位于卧龙的中国大熊猫保护研究中心核桃坪野化培训基地大熊猫饲养场对面山体发生滑坡、泥石流，导致上下路多处塌方阻断，形成孤岛，沿河道的老熊猫饲养场边缘有堡坎被暴涨的河水侵蚀，后山野化培训二阶段圈舍有小面积泥石流滑坡造成野化围栏垮塌。,1
