text,label
雀巢裁员4000人：时代抛弃你时，连招呼都不会打！,0
美国“未来为”子公司大幅度裁员，这是为什么呢？任正非正式回应,0
这一全球巨头“凉凉” “捅刀”华为后 裁员5000 现市值缩水800亿,0
被证实将再裁员1800人 AT&T在为落后的经营模式买单,0
又一网约车巨头倒下：三个月裁员835名员工，滴滴又该何去何从,0
8月20日消息，据腾讯新闻《一线》报道，知情人士表示，为了控制成本支出，蔚来计划将美国分公司的人员规模除自动驾驶业务相关人员外，减少至200人左右。截至美国时间8月16日，蔚来位于美国硅谷的分公司已裁减100名员工。,0
最近，一位前便利蜂员工就因公司违规裁员，将便利蜂所在的公司虫极科技（北京）有限公司告上法庭。,0
思科上海大规模裁员 人均可获赔100万 官方澄清事实,0
日本巨头面临危机，已裁员1000多人，苹果也救不了它！,0
在硅谷镀金失败的造车新势力们：蔚来裁员、奇点被偷窃、拜腾解散,0
武汉HR暴力裁员：你一味逢迎的样子，真丑！,0
美国网约车巨头Uber（优步）周二宣布，该公司已在旗下产品和工程团队裁员435人。,0
蔚来创始人、CEO 李斌今天发布内部邮件，表示公司将 “进一步控制支出，提升运营效率，把资源聚集在核心业务上”，同时，9 月底前裁员至 7500 人左右。,0
裁员4000人，法系车或将退出中国市场 评论区炸了,0
美国最大在线券商嘉信理财（Charles Schwab）发言人周二宣布，该公司将裁员约600人。这位发言人在一份电子邮件声明中说：“受影响的职位涵盖了公司所有的员工级别，以及整个公司的组织和地点。”,0
北京时间5月24日，据当地媒体《慕尼黑信使报》消息：前拜仁和德国国家队队长拉姆投资的公司大量裁员，存在倒闭风险。,0
近日新闻报道，西门子宣布计划未来几年在油气与电力集团全球裁员2700人，这一裁员数量约占该业务集团全球6.4万名员工的4％。,0
其实中国自主新能源汽车里面，目前能拿出手的并不多，但论档次来讲，蔚来还是比较高端的，不仅是内外和用料，价格方面也挺不接地气的。而目前据美国当地媒体报道，中国蔚来在加州的机构进行了一部分的裁员。,0
三星在华最后一家手机厂裁员；特斯拉在京免费租车牌,0
900名被裁员工正式告别甲骨文，那些离开外企的人都去哪了？,0
裁员1200人，Uber可以将其损失减少10-20％，Uber正在计划在剩余现金用完之前解决其余问题，当然包括自动驾驶汽车落地。,0
伊起租：受“实体名单”风波影响，华为在美研发公司将裁员600人,0
 据Finance Magnates周一（7月8日）报道，德意志银行今日开始大裁员，但其外汇部门基本没有受到影响。上周末该银行宣布将执行新一轮的重整，将裁员1.8万人。,0
受实体清单影响：华为招募天价天才和美国子公司裁员600余人！,0
从甲骨文裁员说起,0
美企裁员数万人，硅谷对白宫表态：停止“科技战”？,0
随着去年通用大规模裁员之后，福特也加入了裁员之列，缩减自身规模以应对利润下滑。据央视网消息，全球第二大汽车制造商福特对外宣布，8月底将完成全球裁员约7000名白领，占目前福特全球7万名带薪员工的10%，届时，福特汽车的管理层架构将精简近20%。,0
5月31日，位于朝阳门外大街甲6号万通中心AB座办公楼的韬蕴资本会议室内，十几位近日被裁员的客服部门员工在此索要易到拖欠的工资，并商讨住房公积金及劳动补偿的问题。,0
化工巨头巴斯夫全球裁员6000人，行业不景气所迫还是应对盈利下滑的自救,0
北京时间7月10日，据报道，金州勇士队已经裁掉了33岁控卫肖恩-利文斯顿，而利文斯顿并不打算退役。,0
蔚来效仿特斯拉，美国工厂提前裁员,0
近日，世界级软件公司甲骨文公司在中国区裁员的消息引爆了科技圈，很多人都在关注甲骨文怎么裁员，给的裁员补偿是什么，又或者是因为甲骨文创始人所说的：“不能让中国培养比美国还多的工程师”，而怀疑是否是美国科技企业对于中国科技发展的打击。,0
GameStop大幅裁员 连旗下杂志编辑也被裁掉近半,0
每日房地产简报｜澳洲地产圈打响裁员战：行业进入稳定期 人才需求减少,0
裁员1.8万！昔日巨头德银宣布激进重组方案，耗资逾500亿，求生之举能否成功？,0
近日，德意志银行发表了一份重组计划，将裁撤大量交易部门，在全球裁员约1.8万人，重组所耗资在2022年底累计将达74亿欧元，折合人民币572亿元。,0
NBA自由球员市场大门一开，虽然很多球星都拿到了过亿薪资合同，但是也有不少球星无人问津。此前宣布退役老将帕克也在自由市场开启的第三天，被黄蜂队正式裁掉，黄蜂队选择在7月4号来临之前裁掉帕克，可以少付525万美元的薪水给帕克。,0
9月20日消息，据外媒报道，宝马公司计划到2022年底前在德国裁员近6000人，作为其正在进行的削减成本计划的一部分。,0
徕卡CEO Matthias Harsch近日在接受采访时表示，莱卡在过去几年里已经裁掉了1/8的员工。,0
分析师被裁后把老东家告上法庭！高大上的券商研究所 却成了劳资纠纷高发地,0
WeWork计划最快本周裁员2000人 占公司职员总数13%,0
 北京时间7月11日早间消息，据美国科技媒体The Verge报道，今天早些时候，中国电动汽车创企Seres（原名为SF Motors）在员工会议上宣布，该公司将在硅谷办公室裁员90人。,0
宝马“大换血”：裁员6000人 继续扩大自驾和电动化团队,0
西门子裁员万人，中年危机从追求稳定开始！,0
甲骨文大量裁员的背后反映另一个经济学理论——“替代效应”。,0
"7月22日消息，据外媒报道，福特汽车公司宣布，将于今年9月份在其位于加拿大安大略省奥克维尔的制造工厂裁员约200人，并可能于明年1月份进一步扩大裁员规模。福特奥克维尔工厂目前大约雇佣了4,600名员工。福特将此次裁员归咎于奥克维尔工厂生产的福特Flex以及林肯MKT两款车型的销量下滑；此外，奥克维尔工厂产量最高的福特Edge车型不再在一些欧洲市场出售，也是的另一个原因。",0
据活塞跟队记者James Edwards III报道，球队已裁掉特雷肖-瑟曼，签下特拉德翁-霍林斯（如上图所示）。,0
在今天早晨稍早时候，NBA著名记者Shams Charania报道，多位消息人士透露，骑士使用延伸条款裁掉JR-史密斯，目前JR史密斯已经成为了自由球员。,0
莫雷连裁两人,0
惠普为削减成本、提振销售将裁员至多16%,0
10月24日，Keep开始了一轮大裁员，此次裁员涉及人数或有两三百人，甚至可能更多。,0
“程序员节”Keep突然裁员，或涉及两三百人,0
徕卡裁员100人 要把重点转向人工智能技术,0
美国最大在线券商嘉信理财裁员约600人 此前放弃加密货币业务,0
据外媒报道，印度最大的汽车制造商之一马恒达宣布推迟投资计划，并表示，由于汽车行业长期负增长，该公司本财年将裁员1500人。,0
官方：尼克斯裁掉后卫阿米尔-辛顿,0
新浪美股10月8日讯， 知情人士称，在德意志银行裁员18，000人的计划中，其中大约一半裁员拟在德国实施，该行依赖于零售业务削减开支来降低成本。,0
据报道，全球网约车巨头优步(Uber)周一宣布，在全球裁员约400人，主要集中在市场营销部门。,0
随队记者：猛龙裁掉前锋萨加巴-科纳特,0
NBA大型失业潮！52人被裁，但有8个裁得太感人了,0
总部位于德国的能源巨头西门子公司，日前宣布了一项涉及全球2700名员工的裁员计划。,0
蔚来汽车裁员千人，英国石油和滴滴在中国合建电动汽车充电网络,0
德意志银行裁员18000人的计划中约半数拟发生在德国,0
背后“阴”华为的恶报还没结束？汇丰全球裁员1万人，还是高薪位,0
官方：勇士裁掉麦金尼、坎宁安和宰斯洛夫特,0
北京时间10日消息，美国油田服务巨头哈里伯顿周三宣布，将在科罗拉多州、怀俄明州、新墨西哥州和北达科他州裁员650人，因油气开采活动放缓。,0
动视暴雪大裁员近千人！两大游戏方联手控诉“神仙打架”玩家遭殃,0
华为在美国裁员600人，8000亿资本撤离美国：七大巨头进谏特朗普,0
日产拟裁员超万人 董事长被捕的坑怎么填,0
周一福特公司表示，福特将在截至8月底的重组中裁员约7千人，相当于削减其全球带薪劳动力的10%。,0
福特汽车将在全球裁减7000个白领岗位,0
跟队记者：活塞裁掉特雷肖-瑟曼 签下特拉德翁-霍林斯,0
Uber全球裁员400人 史上最大规模,0
日媒称日产裁员人数将扩大到1万人以上,0
据《华尔街日报》在7月14日引述知情人士的话称，华为正计划对其美国业务部门进行大规模裁员。报道称，华为在美国的约1500名雇员主要负责向偏远农村地区出售通信设备，其余为华为在美国的研发子公司Futurewei工作，此次裁员预计将影响该公司在华盛顿州、加利福尼亚州和得克萨斯州的实验中心的约850名员工。,0
目前，该银行开始在全球范围内裁员1.8万人，这是金融危机后最大规模的一次投资银行重组。,0
难逃寒冬魔爪，魅族大面积撤店裁员，整改力度难以想象,0
 纽约尼克斯今日官方宣布，球队已经裁掉后卫阿米尔-辛顿（配图左一）。,0
甲骨文中国研发中心裁员约1600人补偿方案为N+6,0
路咖评：宝马裁员6000人之后 下一个会是谁？,0
飞速发展的蔚来汽车，屡屡陷入舆论风波及裁员问题，如今又一轮裁员潮到了，1200人将被迫离职。,0
Oracle中国裁员900人：作为美国公司不能给中国培养工程师？,0
与此同时，魅族在全国范围内大规模撤店裁员的消息，也掀起了不少网友的热烈讨论。,0
又要停产裁员6000！通用汽车罢工危机再升级 股价大跌市值蒸发近300亿！,0
又一家科技巨头裁员，IBM确认裁员约1700人,0
蔚来裁员千人，又卖FE车队，还有啥可以卖？,0
蔚来回应裁员千人：局部优化提高效率,0
最近几天关于华为的热点新闻不少，华为招募了8个天才学生；美国子公司裁员600余人；七家美国半导体公司要求特朗普解禁华为等等。,0
下载量暴跌92%：HQ Trivia经历人事动荡 总部裁员20%,0
美国一向掌握着最优沃的科技技术资源，这也是为什么美国能吸引众多我国国内优秀学子。毋庸置疑他们在美国可以得到很好待遇和发展资源，以至于到后来大部分的留学生都选择了美国国籍。华为公司在中国的发展已经非常好，可以说掌握了通讯技术的命脉。华为也早就看好时机入驻美国子公司“未来为”，2018年已经投资5.1亿美元在这家子公司搞研发，其中员工数量多达850位员工，他们来自美国各个国家，有着卓越才能。不过令人惊讶的是美国“未来为”这家公司近期大幅度裁员，裁员人数多达8成约600余人，那么这是为什么呢？任正非正面回应。,0
朗播网被爆裁员欠薪 曾获好未来、ATA投资,0
日产汽车7月25日公布了将裁员1.25万人和减产1成的结构改革方案。,0
日产营业利润减99% 全球裁员1.25万人,0
电动车初创公司蔚来汽车在美国业务的收缩仍在继续，根据蔚来美国分公司近日递交给美国加州就业发展局的文件显示，蔚来硅谷分公司裁员62人，这是蔚来美国分公司今年来第二轮裁员。,0
在进行了中国男篮集训之后的第一次裁员之后，剩下17名球员在今天已经启程前往美国进行第二阶段的备战，而这个阶段也将会是中国男篮备战世界杯的重中之重，除了将要参加NBA夏季联赛之外，包括丁彦雨航是否能够恢复，12人最终名单，以及在遭遇了王仕鹏的炮轰之后，周琦能否用自己能力来给予回击，这三大悬念也备受关注！,0
华为在美开启大裁员，研发子公司Futurewei超7成人员离职,0
金融危机后最大规模重组 德银开始全球裁员1.8万人,0
德意志银行首席执行官泽温（Christian Sewing）写给员工的声明中提到，“我们正在打造一家更能够赚钱、更精简、更创新且有韧性的银行。”德意志银行计划大量裁撤交易部门，裁员1.8万人，耗资74亿欧元大规模重组业务。这是继汇丰银行2011年裁员3万人之后世界级投行对业务最大规模的一次重组行动。,0
印度汽车行业危机加剧 马恒达推迟投资并裁员1500人,0
冠军射手正式被裁！湖人都不愿意“接盘”，或将告别NBA,0
北京时间10月15日消息，据TechCrunch报道，Uber（UBER.N）在外卖、营销、高级技术、招聘、全球驾驶与平台等部门裁员约350名，这是该公司今年年初宣布裁员计划的第三轮，也是最后一轮。,0
蔚来美国继续裁员62人 涉及多个部门,0
